,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
284,Kansas City Kings,31,51,0.378,17.0,109.5,111.4,-1.76,1978
285,Indiana Pacers,31,51,0.378,17.0,108.6,111.1,-2.37,1978
286,Portland Trail Blazers*,58,24,0.707,—,107.7,101.5,5.92,1978
287,Phoenix Suns*,49,33,0.598,9.0,112.3,108.6,3.5,1978
288,Seattle SuperSonics*,47,35,0.573,11.0,104.5,102.9,1.48,1978
289,Los Angeles Lakers*,45,37,0.549,13.0,110.3,107.6,2.59,1978
290,Golden State Warriors,43,39,0.524,15.0,106.1,105.7,0.41,1978
291,Washington Bullets*,54,28,0.659,—,114.9,109.9,4.75,1979
292,Philadelphia 76ers*,47,35,0.573,7.0,109.5,107.7,1.74,1979
293,New Jersey Nets*,37,45,0.451,17.0,107.7,111.9,-4.0,1979
294,New York Knicks,31,51,0.378,23.0,107.7,111.1,-3.29,1979
295,Boston Celtics,29,53,0.354,25.0,108.2,113.3,-4.78,1979
296,San Antonio Spurs*,48,34,0.585,—,119.3,114.1,4.97,1979
297,Houston Rockets*,47,35,0.573,1.0,113.4,112.4,0.92,1979
298,Atlanta Hawks*,46,36,0.561,2.0,109.1,107.1,1.92,1979
299,Detroit Pistons,30,52,0.366,18.0,110.0,112.7,-2.6,1979
300,Cleveland Cavaliers,30,52,0.366,18.0,106.5,110.2,-3.57,1979
301,New Orleans Jazz,26,56,0.317,22.0,108.3,114.6,-5.97,1979
302,Kansas City Kings*,48,34,0.585,—,113.1,110.2,2.73,1979
303,Denver Nuggets*,47,35,0.573,1.0,110.7,109.5,1.24,1979
304,Milwaukee Bucks,38,44,0.463,10.0,114.1,111.8,2.12,1979
305,Indiana Pacers,38,44,0.463,10.0,108.6,110.2,-1.41,1979
306,Chicago Bulls,31,51,0.378,17.0,104.7,108.7,-3.78,1979
307,Seattle SuperSonics*,52,30,0.634,—,106.6,103.9,2.69,1979
308,Phoenix Suns*,50,32,0.61,2.0,115.4,111.7,3.55,1979
309,Los Angeles Lakers*,47,35,0.573,5.0,112.9,109.9,2.95,1979
310,Portland Trail Blazers*,45,37,0.549,7.0,108.4,107.1,1.12,1979
311,San Diego Clippers,43,39,0.524,9.0,113.1,114.9,-1.76,1979
312,Golden State Warriors,38,44,0.463,14.0,105.1,104.8,0.46,1979
313,Boston Celtics*,61,21,0.744,—,113.5,105.7,7.37,1980
314,Philadelphia 76ers*,59,23,0.72,2.0,109.1,104.9,4.04,1980
315,Washington Bullets*,39,43,0.476,22.0,107.0,109.5,-2.27,1980
316,New York Knicks,39,43,0.476,22.0,114.0,115.1,-0.96,1980
317,New Jersey Nets,34,48,0.415,27.0,108.3,109.5,-0.98,1980
318,Atlanta Hawks*,50,32,0.61,—,104.5,101.6,2.83,1980
319,Houston Rockets*,41,41,0.5,9.0,110.8,110.6,0.27,1980
320,San Antonio Spurs*,41,41,0.5,9.0,119.4,119.7,-0.24,1980
321,Indiana Pacers,37,45,0.451,13.0,111.2,111.9,-0.54,1980
322,Cleveland Cavaliers,37,45,0.451,13.0,114.1,113.8,0.43,1980
323,Detroit Pistons,16,66,0.195,34.0,108.9,117.2,-7.57,1980
324,Milwaukee Bucks*,49,33,0.598,—,110.1,106.1,3.57,1980
325,Kansas City Kings*,47,35,0.573,2.0,108.0,104.9,2.82,1980
326,Denver Nuggets,30,52,0.366,19.0,108.3,112.7,-4.22,1980
327,Chicago Bulls,30,52,0.366,19.0,107.5,110.2,-2.63,1980
328,Utah Jazz,24,58,0.293,25.0,102.4,108.4,-5.71,1980
329,Los Angeles Lakers*,60,22,0.732,—,115.1,109.2,5.4,1980
330,Seattle SuperSonics*,56,26,0.683,4.0,108.5,103.8,4.24,1980
331,Phoenix Suns*,55,27,0.671,5.0,111.1,107.5,3.25,1980
332,Portland Trail Blazers*,38,44,0.463,22.0,102.5,103.3,-0.87,1980
333,San Diego Clippers,35,47,0.427,25.0,107.6,111.7,-3.97,1980
334,Golden State Warriors,24,58,0.293,36.0,103.6,108.0,-4.2,1980
335,Boston Celtics*,62,20,0.756,—,109.9,104.0,6.05,1981
336,Philadelphia 76ers*,62,20,0.756,—,111.7,103.8,7.76,1981
337,New York Knicks*,50,32,0.61,12.0,107.9,106.3,2.0,1981
338,Washington Bullets,39,43,0.476,23.0,105.6,105.6,0.42,1981
339,New Jersey Nets,24,58,0.293,38.0,106.9,113.0,-5.15,1981
340,Milwaukee Bucks*,60,22,0.732,—,113.1,105.9,7.14,1981
341,Chicago Bulls*,45,37,0.549,15.0,109.0,107.0,2.34,1981
342,Indiana Pacers*,44,38,0.537,16.0,107.6,106.2,1.72,1981
343,Atlanta Hawks,31,51,0.378,29.0,104.9,108.0,-2.37,1981
344,Cleveland Cavaliers,28,54,0.341,32.0,105.7,110.6,-4.15,1981
345,Detroit Pistons,21,61,0.256,39.0,99.7,106.0,-5.58,1981
346,San Antonio Spurs*,52,30,0.634,—,112.3,109.4,2.18,1981
347,Kansas City Kings*,40,42,0.488,12.0,106.9,106.9,-0.49,1981
348,Houston Rockets*,40,42,0.488,12.0,108.3,107.9,-0.2,1981
349,Denver Nuggets,37,45,0.451,15.0,121.8,122.3,-0.95,1981
350,Utah Jazz,28,54,0.341,24.0,101.2,107.1,-5.99,1981
